nombre,precio
WHISKY CHIVAS REGAL  750ml ,45.00
AGUA MINERAL IMPERIALTORONJA,1.50
AGUA TÓNICA,2.50
AGUARDIENTE AMARILLO MANZANA,15.00
AGUARDIENTE K-LEÑO  ROSADO,10.50
AGUARDIENTE K-LEÑO AMARILLO,10.50
AGUARDIENTE ZHUMIR COCO,4.50
AGUARDIENTE ZHUMIR CRAMBERRY,4.50
AGUARDIENTE ZHUMIR DURAZNO,4.50
AGUARDIENTE ZHUMIR PINK,9.00
AGUARDIENTE ZHUMIR SECO SUAVE,4.50
COCTEL SAN MIGUEL DAIQUIRI,7.00
COCTEL SAN MIGUEL MOJITO,10.00
CREMA DE WHISKY CHERISH,12.00
CREMA DE WHISKY COLDS 750ML,9.00
CREMAS DE WHISKY MAZERATTO 750ML,7.50
CRISTAL DURAZNO 750ML,5.50
CRISTAL ROJO CLASICO 750ML,10.00
ESPUMANTE GRAND DUVAL CLASICO 750ML,6.75
ESPUMANTE GRAND VANDUSH,7.25
ESPUMANTE PETERLONGO 660ML ( espuma del prado),5.25
ESPUMANTE SANTA VERONA DULCE 750ML,5.75
PALOMA ESPUELA,2.00
PIÑA COLADA BAMBUCA 750ML,7.00
PIÑA COLADA CHERISH,12.00
PIÑA COLADA COLDS 750ML,9.00
PIÑA COLADA SUMMER LOVE 750 ML,7.25
RON ABUELO AÑEJO 750 ml,12.50
RON BACARDI CARTA BLANCA 980 ml,17.50
RON BACARDI CARTA ORO 750 ml,17.50
RON CABALLO VIEJO 750 ml,12.00
RON CARTAVIO BLACK 750 ml,8.50
RON CARTAVIO SILVER (BLANCO) 750 ml,9.50
RON CASTILLO BLANCO 750 ml,9.00
RON CIEN FUEGOS ORO 750 ml,13.00
RON CUBANERO ORO 750 ml,7.00
RON DON CASTELÓ 1 LT,5.00
RON ESTELAR ORO 750ML CON VASO,8.00
RON POM POM 750ML,4.25
RON SAN MIGUEL ORO MAS BOTELLA DE COLA 1L,10.00
RON SAN MIGUEL SILVER 750 ml,9.50
